,sarcasm_type,text
1,5,good times fun times here in grand old britannia
4,2,looks like the leagues heading to the reds then
8,3,st tweet the central division is far from over for a gold glove rios 4 tonight 
21,5,always nice to be forgotten about
22,2,yet despite this your fearless hero will nevertheless press on and watch the second film when he next gets the chance
44,5,reason to get my capsules who needs a scarf when your hair is this thick and long #hairgoals #coldweather
48,2,i my dad
61,5,love getting a tour of the north west on rail replacement buses
65,5,was asked if i wanted my drink in a pint glass or a lady glass dissapointed as the glass wasnt pink sparkly or playing the songs from mamma mia
70,2,whats it like being that stupid no im seriously asking do you have awards hanging for your ignorance my niece is only two and even shes not as dumb as you
72,5,apparently i lost weight over break i guess that means i just need to eat more christmas cookies year round
75,2,just your standard minute long cover #dropthepressure #flashcassette #mylo
79,2,people that start construction work before am on a sunday need to just fuck off and die thanks
83,5,happy bwexit day #fuckit
88,5,haha ive been looking for a way to put on weight
91,5,wow what a first lap plenty of action and no accidents #bbcf1
95,3,if someone disagrees with you block them is that the twitter mantra yes im still new here
100,2,plugged in charging but not moving from yeah thanks laptop not like i need to do any work or anything
104,5,great get to go to a million pullaparts for a fucking switch for our envoy
108,2,great one
112,5,sure i didnt want to sleep anyway like
115,5,right because thats the biggest priority right nowclearly
118,5,how is it june when christmas was a week and a half ago government manipulating us again smh
120,2,great service my wife is still waiting for you to turn up hrs minutes and counting
123,5,i love me some wnba
126,4,tune in to see old refs throw flags on the ground there is a football game mixed in between as well
130,2,yall really laying next to a man that aint chocolate tragic
133,2,happy about the new terribly acted terribly written terribly shot new scifi netflix show about aliens with made up science
136,2,not to be rude but fuck you
146,5,i cant wait for the presidential election to be between two old white dudes
156,2,someone dies and suddenly everyone wants to suck them off
160,2,ending part of your video accusing someone of assaulting you with 500 likes for part seems really legit and not at all fucked up
163,2,youtubes processing system is an absolute mystery to me it zooms through the processing on an unedited vod but gets stuck at on an edited video that is 3 of the length what a great platform
169,2,my guess is the twitter algorithms just hate me
177,2,your minute timer has weeks days hours minutes and seconds remaining thanks #googlehome
181,2,science may yet produce an answer to anne widdecombe #lgbt #annewiddecombe
190,5,beautiful day
205,2,my coworkers didnt tell me that today was skip day and now im alone at work
212,5,another easy point for west ham v liverpool
227,2,lol i see u have your resident race baiter on today where is your unbiased historian #maga #freeassangenow
235,2,sadly all of my binders are in the wash so the subversive shirtless photo is out if youre not too squeamish maybe we could arrange a photo shoot while i do my testosterone injection w a very serious facial expression p sure no ones ever thought about doing that
239,5,#everyrealhousewifeneeds a househusband to help out
244,5,me in the very begining stages of creating one 1 piece of merch yeah what cons are coming up near nyc i should def table
254,2,about to hit the studio with my man
256,5,yup that m box office for venom is rough
266,2,ahhh the antitrans lot are showing themselves to be very caring and thoughtful again i see
272,2,this is the sort of highquality content that i followed you for keep up the good work
290,5,i love shopping at walmart late at night theres nothing more entertaining than the people of walmart #latenightthoughts
294,1,still #mayweather or #mcgregor place your bets
299,5,im so proud that i found my butterbeer mug from harry potter world in for this whiskey feel like a legit theme park connoisseur instead of a fake ass bitch
311,2,proud to be part of the 
316,3,so ice creams supposed to be a drink right
320,2,nowt worse than people on #prolific who set their surveys to desktop only gr8888 now i have to find my laptop and get it to agree with me and i only have minutes to do it thanks xox
327,1,some old man told me at work that he knows im montanan cause i say yup you heard it here first you can only say yup if youre from montana
329,5,#singlebecause ill never find a man i love as much as brian mccann
337,4,walk from iowa to nebraska only took minutes #jacks
347,2,boy o love being forever in debt thanks predatory lending
350,1,we invite you to become a part of spain
355,5,fun fact tails loves cock and ball torture #themoreyouknow #funfact #sonic
357,4,i cant find my earbuds anywhere please kill me
362,2,trying to get excited for biden to win the nomination by watching handmaids tale
365,5,love that i finally left my house early to get to uni well before i need to until i realise i forgot my bus pass and locker key
369,5,just earned bounts for being fit and healthy start earning now #bounts #jointhepros
373,5,see brexit is going well
375,5,great now i have a fractured rib __ my life is falling apart
378,5,talents making a joke of myself by crying in front of class
384,2,thrilled to announce that no one wants to touch the new phones we got at work or go to the training session ignoring technology is good and helpful
387,5,true rebellion in college is taking more than the recommended dosage of gummy vitamins
393,5,adulthood is basically just flirting your way to a cheaper oil change
397,5,i hate cars
404,3,do i get a girl scout badge for getting punched in the tit by some raging dude wearing sunglasses in the pit of a basement hip hop show
